Age,Annual Income (k$),Spending Score (1-100),Cluster
19,15,39,1
21,15,81,1
20,16,6,0
23,16,77,1
31,17,40,1
22,17,76,1
35,18,6,0
23,18,94,1
64,19,3,0
30,19,72,1
67,19,14,0
35,19,99,1
58,20,15,0
24,20,77,1
37,20,13,0
22,20,79,1
35,21,35,0
20,21,66,1
52,23,29,0
35,23,98,1
35,24,35,0
25,24,73,1
46,25,5,0
31,25,73,1
54,28,14,0
29,28,82,1
45,28,32,0
35,28,61,1
40,29,31,0
23,29,87,1
60,30,4,0
21,30,73,1
53,33,4,0
18,33,92,1
49,33,14,0
21,33,81,1
42,34,17,0
30,34,73,1
36,37,26,0
20,37,75,1
65,38,35,4
24,38,92,1
48,39,36,0
31,39,61,1
49,39,28,0
24,39,65,1
50,40,55,4
27,40,47,1
29,40,42,1
31,40,42,1
49,42,52,4
33,42,60,1
31,43,54,1
59,43,60,4
50,43,45,4
47,43,41,4
51,44,50,4
69,44,46,4
27,46,51,1
53,46,46,4
70,46,56,4
19,46,55,1
67,47,52,4
54,47,59,4
63,48,51,4
18,48,59,1
43,48,50,4
68,48,48,4
19,48,59,1
32,48,47,1
70,49,55,4
47,49,42,4
60,50,49,4
60,50,56,4
59,54,47,4
26,54,54,1
45,54,53,4
40,54,48,4
23,54,52,1
49,54,42,4
57,54,51,4
38,54,55,1
67,54,41,4
46,54,44,4
21,54,57,1
48,54,46,4
55,57,58,4
22,57,55,1
34,58,60,1
50,58,46,4
68,59,55,4
18,59,41,1
48,60,49,4
40,60,40,4
32,60,42,1
24,60,52,1
47,60,47,4
27,60,50,1
48,61,42,4
20,61,49,1
23,62,41,1
49,62,48,4
67,62,59,4
26,62,55,1
49,62,56,4
21,62,42,1
66,63,50,4
54,63,46,4
68,63,43,4
66,63,48,4
65,63,52,4
19,63,54,1
38,64,42,3
19,64,46,1
18,65,48,1
19,65,50,1
63,65,43,4
49,65,59,4
51,67,43,4
50,67,57,4
27,67,56,1
38,67,40,3
40,69,58,2
39,69,91,2
23,70,29,3
31,70,77,2
43,71,35,3
40,71,95,2
59,71,11,3
38,71,75,2
47,71,9,3
39,71,75,2
25,72,34,3
31,72,71,2
20,73,5,3
29,73,88,2
44,73,7,3
32,73,73,2
19,74,10,3
35,74,72,2
57,75,5,3
32,75,93,2
28,76,40,3
32,76,87,2
25,77,12,3
28,77,97,2
48,77,36,3
32,77,74,2
34,78,22,3
34,78,90,2
43,78,17,3
39,78,88,2
44,78,20,3
38,78,76,2
47,78,16,3
27,78,89,2
37,78,1,3
30,78,78,2
34,78,1,3
30,78,73,2
56,79,35,4
29,79,83,2
19,81,5,3
31,81,93,2
50,85,26,3
36,85,75,2
42,86,20,3
33,86,95,2
36,87,27,3
32,87,63,2
40,87,13,3
28,87,75,2
36,87,10,3
36,87,92,2
52,88,13,3
30,88,86,2
58,88,15,3
27,88,69,2
59,93,14,3
35,93,90,2
37,97,32,3
32,97,86,2
46,98,15,3
29,98,88,2
41,99,39,3
30,99,97,2
54,101,24,3
28,101,68,2
41,103,17,3
36,103,85,2
34,103,23,3
32,103,69,2
33,113,8,3
38,113,91,2
47,120,16,3
35,120,79,2
45,126,28,3
32,126,74,2
32,137,18,3
30,137,83,2
